Date	Contract	Units	$Volume	LowPrice	HighPrice	AvgPrice	LastPrice	
05/31/00	Rep	67	33.803	0.495	0.507	0.505	0.497	1
06/01/00	Dem	13	6.486	0.498	0.499	0.499	0.498	0.4950396825
06/01/00	Reform	0	0	0	0		0.003	0
06/01/00	Rep	47	23.752	0.5	0.509	0.505	0.5	0.9902723735
06/02/00	Dem	327	165.39	0.5	0.528	0.506	0.5	0.513618677
06/02/00	Reform	112	0.468	0.004	0.005	0.004	0.004	1
06/02/00	Rep	226	112.933	0.497	0.5	0.5	0.497	1
06/03/00	Dem	0	0	0	0		0.5	0
06/03/00	Reform	0	0	0	0		0.004	0
06/03/00	Rep	142	71.849	0.505	0.509	0.506	0.508	0.994140625
06/04/00	Dem	48	24.377	0.507	0.509	0.508	0.509	0.500984252
06/04/00	Reform	17	0.051	0.003	0.003	0.003	0.003	0.005870841487
06/04/00	Rep	1	0.507	0.507	0.507	0.507	0.507	0.9921722114
06/05/00	Dem	120	60.07	0.498	0.508	0.501	0.5	0.5019762846
06/05/00	Reform	113	0.384	0.003	0.004	0.003	0.004	0.007782101167
06/05/00	Rep	98	48.946	0.495	0.504	0.499	0.503	0.9921259843
06/06/00	Dem	193	97.36	0.5	0.51	0.504	0.5	0.5044510386
06/06/00	Reform	96	0.354	0.003	0.004	0.004	0.004	0.007042253521
06/06/00	Rep	162	80.65	0.495	0.501	0.498	0.495	0.994047619
06/09/00	Dem	293	159.173	0.508	0.564	0.543	0.54	0.5428296439
06/09/00	Reform	15	0.045	0.003	0.003	0.003	0.003	0.005628517824
06/09/00	Rep	139	63.995	0.45	0.475	0.46	0.46	1
06/10/00	Dem	5	2.65	0.53	0.53	0.53	0.53	0.5150631681
06/10/00	Reform	0	0	0	0		0.003	0
06/10/00	Rep	139	68.091	0.484	0.499	0.49	0.499	1
06/11/00	Dem	268	143.569	0.529	0.54	0.536	0.54	1
06/11/00	Reform	0	0	0	0		0.003	0
06/11/00	Rep	0	0	0	0		0.499	0
06/12/00	Dem	160	85.012	0.511	0.541	0.531	0.511	0.5252427184
06/12/00	Reform	407	2.035	0.003	0.009	0.005	0.009	1
06/12/00	Rep	161	76.215	0.46	0.489	0.473	0.489	0.9819277108
06/13/00	Dem	0	0	0	0		0.511	#DIV/0!
06/13/00	Reform	85	0.706	0.005	0.009	0.008	0.008	0.01669758813
06/13/00	Rep	0	0	0	0		0.489	0
06/14/00	Dem	146	76.374	0.51	0.53	0.523	0.53	0.5216535433
06/14/00	Reform	114	0.912	0.008	0.008	0.008	0.008	0.01436265709
06/14/00	Rep	122	58.552	0.479	0.486	0.48	0.479	0.9818181818
06/15/00	Dem	188	101.066	0.52	0.549	0.538	0.549	0.5289017341
06/15/00	Reform	28	0.197	0.006	0.009	0.007	0.009	0.01688555347
06/15/00	Rep	67	32.354	0.47	0.489	0.483	0.488	0.9513618677
06/16/00	Dem	73	37.244	0.51	0.524	0.51	0.524	0.5172754195
06/16/00	Reform	286	3.402	0.008	0.025	0.012	0.025	0.04424778761
06/16/00	Rep	87	41.917	0.478	0.489	0.482	0.478	0.972166998
06/17/00	Dem	129	68.872	0.523	0.54	0.534	0.535	0.5304518664
06/17/00	Reform	104	0.516	0.004	0.014	0.005	0.004	0.02554744526
06/17/00	Rep	76	36.25	0.475	0.478	0.477	0.475	1
06/18/00	Dem	11	5.844	0.531	0.534	0.531	0.531	0.5266272189
06/18/00	Reform	0	0	0	0		0.004	0
06/18/00	Rep	27	12.9	0.475	0.48	0.478	0.48	0.9836065574
06/19/00	Dem	141	71.588	0.5	0.517	0.508	0.517	0.507360157
06/19/00	Reform	500	4	0.008	0.008	0.008	0.008	0.01486988848
06/19/00	Rep	110	54.376	0.489	0.502	0.494	0.49	0.9920948617
06/20/00	Dem	108	55.941	0.51	0.53	0.518	0.529	0.5242334322
06/20/00	Reform	40	0.16	0.004	0.004	0.004	0.004	0.007518796992
06/20/00	Rep	13	6.253	0.481	0.481	0.481	0.481	0.9897119342
06/21/00	Dem	6	3.078	0.51	0.528	0.513	0.51	0.5232903865
06/21/00	Reform	6	0.029	0.004	0.005	0.005	0.005	0.009523809524
06/21/00	Rep	3	1.442	0.48	0.481	0.481	0.48	0.9856557377
06/22/00	Dem	112	57.302	0.51	0.52	0.512	0.51	0.5073170732
06/22/00	Reform	56	0.341	0.006	0.007	0.006	0.006	0.01353965184
06/22/00	Rep	233	115.125	0.481	0.505	0.494	0.505	1
06/23/00	Dem	11	5.601	0.501	0.51	0.509	0.51	0.504950495
06/23/00	Reform	0	0	0	0		0.006	#DIV/0!
06/23/00	Rep	2	1	0.5	0.5	0.5	0.5	1
06/24/00	Dem	0	0	0	0		0.51	#DIV/0!
06/24/00	Reform	0	0	0	0		0.006	#DIV/0!
06/24/00	Rep	0	0	0	0		0.5	#DIV/0!
06/25/00	Dem	0	0	0	0		0.51	0
06/25/00	Reform	0	0	0	0		0.006	0
06/25/00	Rep	25	12.588	0.488	0.507	0.504	0.488	0.9921722114
06/26/00	Dem	78	39.684	0.499	0.515	0.509	0.515	0.5044074437
06/26/00	Reform	35	0.14	0.004	0.004	0.004	0.004	0.007843137255
06/26/00	Rep	49	24.234	0.49	0.506	0.495	0.498	0.9844357977
06/27/00	Dem	238	118.487	0.486	0.506	0.498	0.5	0.4955925563
06/27/00	Reform	99	0.598	0.004	0.008	0.006	0.005	0.01606425703
06/27/00	Rep	340	173.824	0.498	0.515	0.511	0.51	0.9865900383
06/28/00	Dem	56	27.064	0.454	0.49	0.483	0.454	0.4851485149
06/28/00	Reform	59	0.297	0.005	0.007	0.005	0.005	0.01425661914
06/28/00	Rep	85	43.816	0.51	0.52	0.515	0.52	1
06/29/00	Dem	16	7.734	0.481	0.484	0.483	0.484	0.4820717131
06/29/00	Reform	0	0	0	0		0.005	0
06/29/00	Rep	4	2.08	0.52	0.52	0.52	0.52	0.9867172676
06/30/00	Dem	73	35.04	0.48	0.48	0.48	0.48	0.4804804805
06/30/00	Reform	117	0.483	0.004	0.007	0.004	0.007	1
06/30/00	Rep	102	52.648	0.515	0.519	0.516	0.515	0.9848197343
07/01/00	Dem	0	0	0	0		0.48	0
07/01/00	Reform	49	0.338	0.005	0.008	0.007	0.005	0.01673640167
07/01/00	Rep	41	21.448	0.519	0.54	0.523	0.54	0.9854014599
07/02/00	Dem	2	0.94	0.47	0.47	0.47	0.47	0.4667328699
07/02/00	Reform	4	0.026	0.005	0.008	0.007	0.005	0.01639344262
07/02/00	Rep	2	1.074	0.537	0.537	0.537	0.537	1
07/03/00	Dem	107	50.006	0.465	0.48	0.467	0.465	0.4752475248
07/03/00	Reform	0	0	0	0		0.005	0
07/03/00	Rep	110	58.298	0.529	0.53	0.53	0.53	1
07/04/00	Dem	1	0.476	0.476	0.476	0.476	0.476	1
07/04/00	Reform	0	0	0	0		0.005	0
07/04/00	Rep	0	0	0	0		0.53	#DIV/0!
07/05/00	Dem	2	0.95	0.475	0.475	0.475	0.475	0.4712301587
07/05/00	Reform	0	0	0	0		0.005	0
07/05/00	Rep	132	69.486	0.523	0.533	0.526	0.533	0.9907063197
07/06/00	Dem	153	72.272	0.47	0.474	0.472	0.474	0.4711729622
07/06/00	Reform	50	0.25	0.005	0.005	0.005	0.005	0.01048218029
07/06/00	Rep	4	2.128	0.532	0.532	0.532	0.532	0.990689013
07/07/00	Dem	5	2.36	0.472	0.472	0.472	0.472	0.4734202608
07/07/00	Reform	30	0.15	0.005	0.005	0.005	0.005	0.01052631579
07/07/00	Rep	50	26.25	0.525	0.525	0.525	0.525	0.9905660377
07/08/00	Dem	20	9.4	0.47	0.47	0.47	0.47	0.4728370221
07/08/00	Reform	28	0.14	0.005	0.005	0.005	0.005	0.01048218029
07/08/00	Rep	13	6.812	0.524	0.524	0.524	0.524	0.9886792453
07/09/00	Dem	17	8.014	0.47	0.472	0.471	0.472	1
07/09/00	Reform	47	0.277	0.005	0.006	0.006	0.006	0.01252609603
07/09/00	Rep	0	0	0	0		0.524	0
07/10/00	Dem	114	53.096	0.465	0.473	0.466	0.473	0.4706467662
07/10/00	Reform	131	0.655	0.005	0.005	0.005	0.005	0.01046025105
07/10/00	Rep	9	4.776	0.53	0.532	0.531	0.532	0.990689013
07/11/00	Dem	26	12.215	0.468	0.473	0.47	0.473	0.4739478958
07/11/00	Reform	2	0.01	0.005	0.005	0.005	0.005	0.01030927835
07/11/00	Rep	2	1.05	0.525	0.525	0.525	0.525	0.9905660377
07/12/00	Dem	154	73.2	0.473	0.48	0.475	0.475	0.4743083004
07/12/00	Reform	108	0.54	0.005	0.005	0.005	0.005	0.009009009009
07/12/00	Rep	113	58.96	0.52	0.532	0.522	0.52	0.990689013
07/13/00	Dem	931	492.211	0.488	0.55	0.529	0.54	0.5159474672
07/13/00	Reform	443	2.215	0.005	0.005	0.005	0.005	0.01030927835
07/13/00	Rep	121	61.355	0.485	0.516	0.507	0.485	0.990403071
07/14/00	Dem	1	0.48	0.48	0.48	0.48	0.48	0.4848484848
07/14/00	Reform	32	0.16	0.005	0.005	0.005	0.005	0.009900990099
07/14/00	Rep	6	3.06	0.51	0.51	0.51	0.51	0.9845559846
07/15/00	Dem	75	36.97	0.49	0.5	0.493	0.5	0.499001996
07/15/00	Reform	233	1.681	0.005	0.008	0.007	0.005	0.01550387597
07/15/00	Rep	20	9.99	0.497	0.502	0.5	0.502	0.9843137255
07/16/00	Dem	25	12.61	0.499	0.508	0.504	0.508	0.503968254
07/16/00	Reform	130	0.73	0.005	0.008	0.006	0.007	0.015625
07/16/00	Rep	70	34.81	0.494	0.5	0.497	0.5	0.9881422925
07/17/00	Dem	87	43.33	0.495	0.504	0.498	0.5	0.5014925373
07/17/00	Reform	204	1.06	0.005	0.006	0.005	0.005	0.01185770751
07/17/00	Rep	182	90.172	0.493	0.501	0.495	0.498	0.9901185771
07/18/00	Dem	13	6.497	0.499	0.5	0.5	0.5	0.499001996
07/18/00	Reform	5	0.025	0.005	0.005	0.005	0.005	0.009861932939
07/18/00	Rep	61	30.56	0.5	0.502	0.501	0.501	0.9901380671
07/19/00	Dem	48	24.013	0.497	0.502	0.5	0.5	0.500998004
07/19/00	Reform	5	0.025	0.005	0.005	0.005	0.005	0.01004016064
07/19/00	Rep	50	25	0.5	0.5	0.5	0.5	0.9727626459
07/20/00	Dem	1,374	590.915	0.4	0.493	0.43	0.475	0.4681861349
07/20/00	Reform	1,418	9.091	0.005	0.014	0.006	0.008	0.02729044834
07/20/00	Rep	1,025	533.391	0.501	0.56	0.52	0.515	0.985915493
07/21/00	Dem	182	86.622	0.435	0.499	0.476	0.499	0.4825918762
07/21/00	Reform	56	0.304	0.005	0.008	0.005	0.005	0.0157790927
07/21/00	Rep	48	24.718	0.51	0.535	0.515	0.535	0.9780621572
07/22/00	Dem	7	3.432	0.488	0.499	0.49	0.499	0.4825918762
07/22/00	Reform	13	0.086	0.005	0.012	0.007	0.005	1
07/22/00	Rep	39	20.359	0.504	0.535	0.522	0.51	1
07/23/00	Dem	0	0	0	0		0.499	0
07/23/00	Reform	0	0	0	0		0.005	0
07/23/00	Rep	4	2.018	0.504	0.505	0.504	0.504	0.9824902724
07/24/00	Dem	47	22.97	0.478	0.493	0.489	0.478	0.4866732478
07/24/00	Reform	33	0.25	0.006	0.009	0.008	0.006	0.01810865191
07/24/00	Rep	131	67.537	0.497	0.52	0.516	0.52	0.9904761905
07/25/00	Dem	63	30.398	0.481	0.488	0.483	0.482	0.4865403789
07/25/00	Reform	8	0.04	0.005	0.005	0.005	0.005	0.01026694045
07/25/00	Rep	8	4.12	0.515	0.515	0.515	0.515	0.9884836852
07/26/00	Dem	64	30.449	0.475	0.482	0.476	0.475	0.47960199
07/26/00	Reform	218	1.19	0.005	0.006	0.005	0.006	0.01207243461
07/26/00	Rep	52	27.046	0.516	0.523	0.52	0.523	0.9830827068
07/27/00	Dem	81	39.551	0.48	0.491	0.488	0.491	0.4766990291
07/27/00	Reform	369	1.948	0.005	0.009	0.005	0.005	0.01789264414
07/27/00	Rep	293	149.912	0.495	0.539	0.512	0.495	1
07/28/00	Dem	136	66.055	0.475	0.494	0.486	0.475	0.4847890088
07/28/00	Reform	0	0	0	0		0.005	0
07/28/00	Rep	18	9.179	0.503	0.525	0.51	0.506	0.988700565
07/29/00	Dem	425	195.545	0.45	0.476	0.46	0.46	0.4639376218
07/29/00	Reform	100	0.53	0.005	0.006	0.005	0.005	1
07/29/00	Rep	455	246.055	0.525	0.55	0.541	0.535	0.990990991
07/30/00	Dem	0	0	0	0		0.46	0
07/30/00	Reform	40	0.2	0.005	0.005	0.005	0.005	0.01046025105
07/30/00	Rep	40	21.19	0.52	0.54	0.53	0.525	0.9908256881
07/31/00	Dem	35	16.44	0.463	0.473	0.47	0.463	0.4687809713
07/31/00	Reform	11	0.055	0.005	0.005	0.005	0.005	0.01043841336
07/31/00	Rep	88	46.382	0.524	0.536	0.527	0.536	0.9907578558
08/01/00	Dem	82	38.684	0.47	0.474	0.472	0.472	0.4693069307
08/01/00	Reform	50	0.25	0.005	0.005	0.005	0.005	0.0103950104
08/01/00	Rep	142	75.106	0.524	0.536	0.529	0.524	0.9907578558
08/02/00	Dem	35	16.561	0.471	0.476	0.473	0.475	0.476
08/02/00	Reform	17	0.085	0.005	0.005	0.005	0.005	0.01
08/02/00	Rep	58	30.315	0.52	0.524	0.523	0.52	0.984962406
08/03/00	Dem	701	339.578	0.471	0.495	0.484	0.48	0.4782608696
08/03/00	Reform	152	0.997	0.006	0.008	0.007	0.006	0.01606425703
08/03/00	Rep	333	171.359	0.5	0.54	0.515	0.524	0.989010989
08/04/00	Dem	784	376.538	0.468	0.49	0.48	0.478	0.4757281553
08/04/00	Reform	983	5.421	0.005	0.006	0.006	0.005	0.01224489796
08/04/00	Rep	710	371.07	0.51	0.54	0.523	0.51	0.9908256881
08/05/00	Dem	201	96.198	0.475	0.484	0.479	0.475	0.4796828543
08/05/00	Reform	130	0.549	0.004	0.005	0.004	0.005	0.01041666667
08/05/00	Rep	263	137.002	0.517	0.525	0.521	0.525	0.9905660377
08/06/00	Dem	257	121.663	0.471	0.475	0.473	0.471	0.475
08/06/00	Reform	545	2.38	0.004	0.005	0.004	0.004	0.01020408163
08/06/00	Rep	377	197.895	0.515	0.525	0.525	0.515	0.9905660377
08/07/00	Dem	1,283	599.016	0.448	0.485	0.467	0.47	0.4685990338
08/07/00	Reform	1,029	4.166	0.004	0.005	0.004	0.004	0.0101010101
08/07/00	Rep	516	277.193	0.521	0.55	0.537	0.54	0.990990991
08/08/00	Dem	414	197.213	0.458	0.49	0.476	0.476	0.4761904762
08/08/00	Reform	301	1.229	0.004	0.005	0.004	0.004	0.01020408163
08/08/00	Rep	260	137.824	0.52	0.539	0.53	0.52	0.9908088235
08/09/00	Dem	668	321.48	0.474	0.485	0.481	0.483	0.4816285998
08/09/00	Reform	175	0.77	0.004	0.005	0.004	0.004	0.01012145749
08/09/00	Rep	115	59.529	0.511	0.522	0.518	0.522	0.9886363636
08/10/00	Dem	256	124.246	0.482	0.489	0.485	0.485	0.4827245805
08/10/00	Reform	477	2.013	0.004	0.006	0.004	0.005	0.01209677419
08/10/00	Rep	509	259.083	0.501	0.524	0.509	0.507	0.9905482042
08/11/00	Dem	447	213.622	0.465	0.49	0.478	0.465	0.4803921569
08/11/00	Reform	17	0.084	0.004	0.005	0.005	0.004	0.01004016064
08/11/00	Rep	395	203.746	0.507	0.53	0.516	0.53	0.9906542056
08/12/00	Dem	329	158.154	0.468	0.493	0.481	0.48	0.4833333333
08/12/00	Reform	135	0.555	0.004	0.005	0.004	0.004	0.01014198783
08/12/00	Rep	128	66.574	0.52	0.527	0.52	0.52	0.9906015038
08/13/00	Dem	24	11.712	0.488	0.488	0.488	0.488	0.4836471754
08/13/00	Reform	100	0.5	0.005	0.005	0.005	0.005	0.01018329939
08/13/00	Rep	18	9.348	0.518	0.521	0.519	0.521	0.9923809524
08/14/00	Dem	482	229.66	0.469	0.486	0.476	0.484	0.478817734
08/14/00	Reform	42	0.168	0.004	0.004	0.004	0.004	0.008196721311
08/14/00	Rep	85	44.188	0.517	0.529	0.52	0.517	0.9906367041
08/15/00	Dem	785	367.623	0.46	0.484	0.468	0.46	0.4680851064
08/15/00	Reform	802	3.228	0.004	0.005	0.004	0.004	0.01063829787
08/15/00	Rep	642	344.407	0.516	0.55	0.536	0.55	0.9927797834
08/16/00	Dem	628	283.755	0.444	0.465	0.452	0.445	0.4545454545
08/16/00	Reform	499	1.996	0.004	0.004	0.004	0.004	0.008695652174
08/16/00	Rep	663	365.272	0.533	0.558	0.551	0.558	0.9911190053
08/17/00	Dem	1,061	468.95	0.43	0.456	0.442	0.445	0.443148688
08/17/00	Reform	864	3.458	0.004	0.005	0.004	0.004	0.0110619469
08/17/00	Rep	534	300.013	0.551	0.573	0.562	0.573	0.991349481
08/18/00	Dem	729	318.135	0.421	0.447	0.436	0.435	0.4331395349
08/18/00	Reform	928	3.992	0.004	0.005	0.004	0.004	0.01098901099
08/18/00	Rep	1,304	738.755	0.555	0.585	0.567	0.56	0.9915254237
08/19/00	Dem	329	145.265	0.422	0.45	0.442	0.44	0.4289799809
08/19/00	Reform	222	0.888	0.004	0.005	0.004	0.004	0.01075268817
08/19/00	Rep	951	549.179	0.561	0.599	0.577	0.565	0.9917218543
08/20/00	Dem	289	130.098	0.428	0.46	0.45	0.444	0.4343720491
08/20/00	Reform	937	3.787	0.004	0.005	0.004	0.004	0.01052631579
08/20/00	Rep	615	353.813	0.54	0.599	0.575	0.557	0.9933665008
08/21/00	Dem	757	350.785	0.446	0.47	0.463	0.469	0.4549854792
08/21/00	Reform	876	3.504	0.004	0.004	0.004	0.004	0.00826446281
08/21/00	Rep	781	422.683	0.531	0.563	0.541	0.537	0.9911971831
08/22/00	Dem	1,178	560.299	0.467	0.48	0.476	0.475	0.4719764012
08/22/00	Reform	646	2.937	0.004	0.005	0.005	0.004	0.01033057851
08/22/00	Rep	139	73.358	0.52	0.537	0.528	0.52	0.9907749077
08/23/00	Dem	162	76.51	0.451	0.479	0.472	0.472	0.4673170732
08/23/00	Reform	514	2.156	0.004	0.005	0.004	0.005	0.01043841336
08/23/00	Rep	720	383.884	0.523	0.546	0.533	0.525	0.9891304348
08/24/00	Dem	57	26.895	0.465	0.474	0.472	0.472	0.4730538922
08/24/00	Reform	128	0.639	0.004	0.006	0.005	0.005	0.01244813278
08/24/00	Rep	105	55.325	0.525	0.528	0.527	0.525	0.9887640449
08/25/00	Dem	114	53.838	0.47	0.476	0.472	0.47	0.4750499002
08/25/00	Reform	402	2.011	0.005	0.006	0.005	0.005	0.0119760479
08/25/00	Rep	157	82.379	0.523	0.526	0.525	0.523	0.9887218045
08/26/00	Dem	593	287.865	0.474	0.495	0.485	0.487	0.4862475442
08/26/00	Reform	554	2.766	0.004	0.006	0.005	0.004	0.01234567901
08/26/00	Rep	236	123.182	0.518	0.523	0.522	0.518	0.9924098672
08/27/00	Dem	145	68.674	0.471	0.48	0.474	0.473	0.4747774481
08/27/00	Reform	419	1.676	0.004	0.004	0.004	0.004	0.00824742268
08/27/00	Rep	226	117.508	0.517	0.531	0.52	0.521	0.9888268156
08/28/00	Dem	241	115.088	0.47	0.481	0.478	0.48	0.4748272458
08/28/00	Reform	196	0.817	0.004	0.006	0.004	0.006	0.01204819277
08/28/00	Rep	810	418.549	0.501	0.532	0.517	0.511	0.987012987
08/29/00	Dem	291	141.464	0.484	0.492	0.486	0.487	0.4856860809
08/29/00	Reform	469	2.697	0.004	0.007	0.006	0.006	0.01397205589
08/29/00	Rep	332	169.526	0.506	0.521	0.511	0.507	0.9886148008
08/30/00	Dem	85	41.764	0.487	0.494	0.491	0.487	0.4900793651
08/30/00	Reform	137	0.657	0.004	0.006	0.005	0.005	0.01165048544
08/30/00	Rep	41	20.834	0.508	0.514	0.508	0.508	0.9884615385
08/31/00	Dem	283	140.651	0.489	0.509	0.497	0.501	0.5004916421
08/31/00	Reform	359	1.655	0.004	0.006	0.005	0.004	0.01156069364
08/31/00	Rep	737	370.691	0.5	0.508	0.503	0.501	0.986407767
09/01/00	Dem	672	335.14	0.493	0.513	0.499	0.513	0.4970930233
09/01/00	Reform	439	1.938	0.004	0.007	0.004	0.004	0.01340996169
09/01/00	Rep	458	231.788	0.49	0.519	0.506	0.517	0.9923518164
09/02/00	Dem	201	102.51	0.501	0.515	0.51	0.501	0.5073891626
09/02/00	Reform	74	0.296	0.004	0.004	0.004	0.004	0.007889546351
09/02/00	Rep	160	79.143	0.481	0.5	0.495	0.5	0.9881422925
09/03/00	Dem	324	162.019	0.5	0.503	0.5	0.5	0.5014955135
09/03/00	Reform	111	0.451	0.004	0.006	0.004	0.004	0.01167315175
09/03/00	Rep	259	128.492	0.495	0.5	0.496	0.495	0.9900990099
09/04/00	Dem	368	184.437	0.498	0.508	0.501	0.508	0.504468719
